make,fuel-type,aspiration,body-style,wheel-base,length,width,height
alfa-romero,gas,std,convertible,88.6,168.8,64.1,48.8
alfa-romero,gas,std,convertible,88.6,168.8,64.1,
alfa-romero,gas,std,hatchback,94.5,171.2,65.5,52.4
audi,gas,std,sedan,99.8,176.6,66.2,54.3
audi,gas,,sedan,99.4,176.6,66.4,54.3
audi,gas,std,sedan,99.8,177.3,66.3,53.1
audi,gas,std,sedan,105.8,192.7,71.4,55.7
audi,gas,std,wagon,105.8,192.7,71.4,55.7
audi,gas,turbo,sedan,105.8,192.7,71.4,55.9
audi,gas,turbo,hatchback,99.5,178.2,67.9,52
bmw,gas,std,sedan,101.2,176.8,64.8,54.3
bmw,gas,std,sedan,101.2,176.8,64.8,54.3
bmw,gas,std,sedan,101.2,176.8,64.8,54.3
bmw,gas,std,sedan,101.2,176.8,64.8,54.3
bmw,gas,std,sedan,103.5,189,66.9,55.7
bmw,gas,std,sedan,103.5,189,66.9,55.7
bmw,gas,std,sedan,103.5,193.8,67.9,53.7
bmw,gas,std,sedan,110,197,70.9,56.3
chevrolet,gas,std,hatchback,88.4,141.1,60.3,
chevrolet,gas,std,hatchback,94.5,155.9,63.6,52
chevrolet,gas,std,sedan,94.5,158.8,63.6,52
dodge,gas,std,hatchback,93.7,157.3,63.8,50.8
dodge,gas,std,hatchback,93.7,157.3,63.8,50.8
dodge,gas,turbo,hatchback,93.7,157.3,63.8,50.8
dodge,gas,std,hatchback,93.7,157.3,63.8,50.6
dodge,gas,std,sedan,93.7,157.3,63.8,50.6
dodge,gas,std,sedan,93.7,157.3,63.8,50.6
dodge,gas,turbo,sedan,93.7,157.3,63.8,50.6
dodge,gas,std,wagon,103.3,174.6,64.6,59.8
dodge,gas,turbo,hatchback,95.9,173.2,66.3,50.2
honda,gas,std,hatchback,86.6,144.6,63.9,50.8
honda,gas,std,hatchback,86.6,144.6,63.9,50.8
honda,gas,std,hatchback,93.7,150,64,52.6
honda,gas,std,hatchback,93.7,150,64,52.6
honda,gas,std,hatchback,93.7,150,64,52.6
honda,gas,std,sedan,96.5,163.4,64,54.5
honda,gas,std,wagon,96.5,157.1,63.9,58.3
honda,gas,std,hatchback,96.5,167.5,65.2,53.3
honda,gas,std,hatchback,96.5,167.5,65.2,53.3
honda,gas,std,sedan,96.5,175.4,65.2,54.1
honda,gas,std,sedan,96.5,175.4,62.5,54.1
honda,gas,std,sedan,96.5,175.4,65.2,54.1
honda,gas,std,sedan,96.5,169.1,66,51
isuzu,gas,std,sedan,94.3,170.7,61.8,53.5
isuzu,gas,std,sedan,94.5,155.9,63.6,52
isuzu,gas,std,sedan,94.5,155.9,63.6,52
isuzu,gas,std,hatchback,96,172.6,65.2,51.4
jaguar,gas,std,sedan,113,199.6,69.6,52.8
jaguar,gas,std,sedan,113,199.6,69.6,52.8
jaguar,gas,std,sedan,102,191.7,70.6,47.8
mazda,gas,std,hatchback,93.1,159.1,64.2,54.1
mazda,gas,std,hatchback,93.1,159.1,64.2,54.1
mazda,gas,std,hatchback,93.1,159.1,64.2,54.1
mazda,gas,std,sedan,93.1,166.8,64.2,54.1
mazda,gas,std,sedan,93.1,166.8,64.2,54.1
mazda,gas,std,hatchback,95.3,169,65.7,49.6
mazda,gas,std,hatchback,95.3,169,65.7,49.6
mazda,gas,std,hatchback,95.3,169,65.7,49.6
mazda,gas,std,hatchback,95.3,169,65.7,49.6
mazda,gas,std,hatchback,98.8,177.8,66.5,53.7
mazda,gas,std,sedan,98.8,177.8,66.5,55.5
mazda,gas,std,hatchback,98.8,177.8,66.5,53.7
mazda,gas,std,sedan,98.8,177.8,66.5,55.5
mazda,diesel,std,sedan,98.8,177.8,66.5,55.5
mazda,gas,std,hatchback,98.8,177.8,66.5,55.5
mazda,gas,std,sedan,104.9,175,66.1,54.4
mazda,diesel,std,sedan,104.9,175,66.1,54.4
mercedes-benz,diesel,turbo,sedan,110,190.9,70.3,56.5
mercedes-benz,diesel,turbo,wagon,110,190.9,70.3,58.7
mercedes-benz,diesel,turbo,hardtop,106.7,187.5,70.3,54.9
mercedes-benz,diesel,turbo,sedan,115.6,202.6,71.7,56.3
mercedes-benz,gas,std,sedan,115.6,202.6,71.7,56.5
mercedes-benz,gas,std,convertible,96.6,180.3,70.5,50.8
mercedes-benz,gas,std,sedan,120.9,208.1,71.7,56.7
mercedes-benz,gas,std,hardtop,112,199.2,72,55.4
mercury,gas,turbo,hatchback,102.7,178.4,68,54.8
mitsubishi,gas,std,hatchback,93.7,157.3,64.4,50.8
mitsubishi,gas,std,hatchback,93.7,157.3,64.4,50.8
mitsubishi,gas,std,hatchback,93.7,157.3,64.4,50.8
mitsubishi,gas,turbo,hatchback,93,157.3,63.8,50.8
mitsubishi,gas,turbo,hatchback,96.3,173,65.4,49.4
mitsubishi,gas,std,hatchback,96.3,173,65.4,49.4
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,turbo,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,diesel,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,wagon,94.5,170.2,63.8,53.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,hatchback,94.5,165.6,63.8,53.3
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,wagon,94.5,170.2,63.8,53.5
nissan,gas,std,hardtop,95.1,162.4,63.8,53.3
nissan,gas,std,hatchback,97.2,173.4,65.2,54.7
nissan,gas,std,sedan,97.2,173.4,65.2,54.7
nissan,gas,std,sedan,100.4,181.7,66.5,55.1
nissan,gas,std,wagon,100.4,184.6,66.5,56.1
nissan,gas,std,sedan,100.4,184.6,66.5,55.1
nissan,gas,std,hatchback,91.3,170.7,67.9,49.7
nissan,gas,turbo,hatchback,91.3,170.7,67.9,49.7
nissan,gas,std,hatchback,99.2,178.5,67.9,49.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,std,wagon,114.2,198.9,68.4,58.7
peugot,diesel,turbo,wagon,114.2,198.9,68.4,58.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,std,wagon,114.2,198.9,68.4,
peugot,diesel,turbo,wagon,114.2,198.9,68.4,58.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,turbo,sedan,108,186.7,68.3,56
plymouth,gas,std,hatchback,93.7,157.3,63.8,50.8
plymouth,gas,turbo,hatchback,93.7,157.3,63.8,50.8
plymouth,gas,std,hatchback,93.7,157.3,63.8,50.6
plymouth,gas,std,sedan,93.7,167.3,63.8,50.8
plymouth,gas,std,sedan,93.7,167.3,63.8,50.8
plymouth,gas,std,wagon,103.3,174.6,64.6,59.8
plymouth,gas,turbo,hatchback,95.9,173.2,66.3,50.2
porsche,gas,std,hatchback,94.5,168.9,68.3,50.2
porsche,gas,std,hardtop,89.5,168.9,65,51.6
porsche,gas,std,hardtop,89.5,168.9,65,51.6
,gas,std,convertible,89.5,168.9,65,51.6
porsche,gas,std,hatchback,98.4,175.7,72.3,50.5
renault,gas,std,wagon,96.1,181.5,66.5,55.2
renault,gas,std,hatchback,96.1,176.8,66.6,50.5
saab,gas,std,hatchback,99.1,186.6,66.5,56.1
saab,gas,std,sedan,99.1,186.6,66.5,56.1
saab,gas,std,hatchback,99.1,186.6,66.5,56.1
saab,gas,std,sedan,99.1,186.6,66.5,56.1
saab,gas,turbo,hatchback,99.1,186.6,66.5,56.1
saab,gas,turbo,sedan,99.1,186.6,66.5,56.1
subaru,gas,std,hatchback,93.7,156.9,63.4,53.7
subaru,gas,std,hatchback,93.7,157.9,63.6,53.7
subaru,gas,std,hatchback,93.3,157.3,63.8,55.7
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97,172,65.4,54.3
subaru,gas,turbo,sedan,97,172,65.4,54.3
subaru,gas,std,wagon,97,173.5,65.4,53
subaru,gas,std,wagon,97,173.5,65.4,53
subaru,gas,std,wagon,96.9,173.6,65.4,54.9
subaru,gas,turbo,wagon,96.9,173.6,65.4,54.9
toyota,gas,std,hatchback,95.7,158.7,63.6,54.5
toyota,gas,std,hatchback,95.7,158.7,63.6,54.5
toyota,gas,,hatchback,95.7,158.7,63.6,54.5
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,sedan,95.7,166.3,64.4,53
toyota,gas,std,hatchback,95.7,166.3,64.4,52.8
toyota,diesel,std,sedan,95.7,166.3,64.4,53
toyota,diesel,std,hatchback,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,95.7,166.3,64.4,53
toyota,gas,std,hatchback,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,94.5,168.7,64,52.6
toyota,gas,std,hatchback,94.5,168.7,64,52.6
toyota,gas,std,sedan,94.5,168.7,64,52.6
toyota,gas,std,hatchback,94.5,168.7,64,52.6
toyota,gas,std,hardtop,98.4,176.2,65.6,52
toyota,gas,,hardtop,98.4,176.2,65.6,52
toyota,gas,std,hatchback,98.4,176.2,65.6,52
toyota,gas,std,hardtop,98.4,176.2,65.6,52
toyota,gas,std,hatchback,98.4,176.2,65.6,52
toyota,gas,std,convertible,98.4,176.2,65.6,53
toyota,gas,std,sedan,102.4,175.6,66.5,54.9
toyota,diesel,turbo,sedan,102.4,175.6,66.5,54.9
toyota,gas,std,hatchback,102.4,175.6,66.5,53.9
toyota,gas,std,sedan,102.4,175.6,66.5,54.9
toyota,gas,std,hatchback,102.4,175.6,66.5,53.9
,gas,std,hatchback,102.9,183.5,67.7,52
toyota,gas,std,hatchback,102.9,183.5,67.7,52
toyota,gas,std,sedan,104.5,187.8,66.5,54.1
toyota,gas,std,wagon,104.5,187.8,66.5,54.1
volkswagen,diesel,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,diesel,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,diesel,turbo,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,convertible,94.5,159.3,64.2,55.6
volkswagen,gas,std,hatchback,94.5,165.7,64,51.4
volkswagen,gas,std,sedan,100.4,180.2,66.9,55.1
volkswagen,diesel,turbo,sedan,100.4,180.2,66.9,55.1
volkswagen,gas,std,wagon,100.4,183.1,66.9,55.1
volvo,gas,std,sedan,104.3,188.8,67.2,56.2
volvo,gas,std,wagon,104.3,188.8,67.2,57.5
volvo,gas,std,sedan,104.3,188.8,67.2,56.2
volvo,gas,std,wagon,104.3,188.8,67.2,57.5
volvo,gas,turbo,sedan,104.3,188.8,67.2,56.2
volvo,gas,turbo,wagon,104.3,188.8,67.2,57.5
volvo,gas,std,sedan,109.1,188.8,68.9,55.5
volvo,gas,turbo,sedan,109.1,188.8,68.8,55.5
volvo,gas,std,sedan,109.1,188.8,68.9,55.5
,diesel,turbo,sedan,109.1,188.8,68.9,55.5
volvo,gas,turbo,sedan,109.1,188.8,68.9,55.5
